date,ind,ind_d
232,0.4292755,-0.2486307
233,0.3786494,-0.0506261
234,0.5688749,0.1902255
235,0.5165122,-0.0523627
236,0.6767406,0.1602284
237,0.3251166,-0.3516241
238,0.4039752,0.0788587
239,0.5526813,0.148706
240,0.3338504,-0.2188309
241,0.5678371,0.2339867
242,0.4015981,-0.166239
243,0.3083939,-0.0932042
244,0.9669372,0.6585433
245,1.482837,0.5159002
246,1.59635,0.1135123
247,1.492603,-0.1037469
248,1.858942,0.3663394
249,1.838961,-0.0199816
250,1.990582,0.1516212
251,1.929304,-0.061278
252,2.088514,0.1592104
253,1.870856,-0.2176584
254,2.055286,0.1844298
255,1.91286,-0.1424257
256,1.832091,-0.0807694
257,1.910119,0.0780286
258,2.019387,0.1092683
259,1.72058,-0.298807
260,1.654314,-0.0662663
261,1.984334,0.3300201
262,1.972153,-0.0121815
263,2.052224,0.0800714
264,1.930973,-0.1212513
265,2.007086,0.0761132
266,1.842025,-0.1650611
267,1.912865,0.0708401
268,1.84005,-0.0728149
269,1.800171,-0.0398787
270,2.246153,0.4459815
271,2.125532,-0.1206205
272,2.017325,-0.1082072
273,2.010811,-0.0065138
274,2.00042,-0.0103917
275,2.206394,0.2059746
276,2.287737,0.0813429
277,2.260611,-0.0271263
278,2.622596,0.3619854
279,2.410905,-0.2116914
280,2.212487,-0.1984184
281,1.677737,-0.5347494
282,1.680008,0.0022705
283,1.485878,-0.1941292
284,1.668701,0.1828225
285,1.54448,-0.1242208
286,1.746153,0.2016735
287,1.602939,-0.1432142
288,1.704338,0.1013985
289,1.544709,-0.1596289
290,1.649613,0.1049038
291,1.547039,-0.1025741
292,1.298658,-0.248381
293,1.628362,0.329704
294,1.59138,-0.0369811
295,1.509086,-0.0822942
296,1.200631,-0.3084556
297,1.207486,0.0068555
298,1.258057,0.0505707
299,1.23286,-0.0251966
300,1.395506,0.1626461
301,1.517491,0.1219844
302,1.463706,-0.0537845
303,1.021476,-0.4422303
304,1.073607,0.0521308
305,1.217163,0.1435567
306,0.9379525,-0.279211
307,1.177602,0.2396491
308,1.098122,-0.0794791
309,1.128233,0.030111
310,1.052676,-0.0755578
311,1.154532,0.1018567
312,1.00484,-0.1496919
313,0.9459276,-0.0589128
314,1.125498,0.1795701
315,1.086359,-0.0391386
316,1.395583,0.3092238
317,1.380598,-0.014985
318,1.20421,-0.1763877
319,1.302782,0.0985715
320,1.303833,0.0010508
321,1.232339,-0.0714937
322,1.381061,0.1487225
323,1.33231,-0.0487514
324,1.666384,0.3340739
325,1.574573,-0.0918106
326,1.557358,-0.0172158
327,1.766956,0.2095983
328,1.8239,0.0569439
329,1.598783,-0.2251172
330,1.639273,0.0404909
331,1.73346,0.0941864
332,1.718415,-0.0150452
333,1.698748,-0.0196664
334,1.752047,0.0532985
335,1.921475,0.1694279
336,1.811851,-0.1096232
337,1.806447,-0.0054048
338,1.667168,-0.1392781
339,1.848314,0.1811459
340,1.775156,-0.0731587
341,1.736076,-0.0390797
342,1.711684,-0.0243918
343,1.731709,0.020025
344,1.856167,0.1244581
345,1.788921,-0.0672468
346,1.867606,0.0786853
347,1.832421,-0.0351845
348,1.780862,-0.0515593
349,1.824558,0.043696
350,1.812925,-0.0116334
351,1.97572,0.1627955
352,1.95272,-0.0230006
353,1.870785,-0.081935
354,1.982558,0.1117737
355,1.85507,-0.1274887
356,1.885096,0.0300268
357,1.919624,0.0345275
358,1.815521,-0.1041026
359,1.78924,-0.0262812
360,1.895704,0.1064643
361,1.763164,-0.1325406
362,1.67092,-0.0922438
363,1.643221,-0.0276988
364,1.210645,-0.4325759
365,1.21845,0.0078051
366,1.191594,-0.0268567
367,1.258272,0.0666788
368,1.191455,-0.0668175
369,1.060871,-0.1305844
370,1.150912,0.0900415
371,1.035728,-0.1151843
372,1.131907,0.0961796
373,1.161496,0.0295883
