,date,A_1,A_2,A_3,A_4,A_5,B_1,B_2,B_3,B_4,B_5,C_1,C_2,C_3,D_1,D_2,E_1,E_2,E_3,F_1,F_2,F_3,F_4,G_3,ind
0,2013-01-04,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.50722386817312,1.8454818581238164,0.45765982058175336,0.4526813378964813,1.5149776634006031,4.106820764653557,0.3233800850410776,1.2918634926663064,0.01799307958477514,0.04100437955102998,0.26049989431138654,26.7,95.59,0.1093783506297143
1,2013-01-07,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.503683320400258,1.4619130198566295,0.23059379220909187,0.46184545316874465,1.4726228491427409,3.6739176084051293,0.7498523130557797,1.3170872992394305,0.01799307958477514,0.04100437955102998,0.25129759697252946,26.7,95.59,0.07349677612381685
2,2013-01-08,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.50886627943372,0.9815056214901148,0.011871152497298695,0.47619026225613637,1.41175885606173,3.0526204742261323,1.361814917148269,1.3527065143911625,0.01799307958477514,0.04100437955102998,0.2371557435598633,26.7,95.59,0.06532788493285395
3,2013-01-09,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.457828230309097,1.135679974504491,-0.3496304118941255,0.4923828340766582,1.3766135066941183,2.9324750739138157,1.4787287801606104,1.3707788521391597,0.01799307958477514,0.04100437955102998,0.23728313950917163,26.7,95.59,0.0638164844245455
4,2013-01-10,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.394915661467078,1.4185351065312364,-0.818729518921879,0.5096047049951996,1.348959134440821,2.95489162332977,1.4549247096755857,1.3830590588619314,0.01799307958477514,0.04100437955102998,0.24127212130955034,26.7,95.59,0.06339955231677769
5,2013-01-11,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.498053078570761,2.140549266084567,0.36313902767134065,0.5224773204809733,1.3412022199867029,2.8762131493850145,1.5312521568976307,1.382185209686288,0.01799307958477514,0.04100437955102998,0.2299858349011028,26.7,95.59,0.06163938149862475
6,2013-01-14,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.646235750718624,2.9518231445294694,2.021011741277616,0.5325814586626358,1.342486889542245,2.806042340352333,1.5991535755177244,1.3780054908671433,0.01799307958477514,0.04100437955102998,0.21556155596139503,26.7,95.59,0.07341440449406827
7,2013-01-15,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.64065792872593,2.3842275688017622,0.7997497378137544,0.543720612213499,1.3310120264715986,2.7919767892542184,1.614033810697931,1.373670351073928,0.01799307958477514,0.04100437955102998,0.21651510197628454,26.7,95.59,0.07107460071331367
8,2013-01-16,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.595089807369552,1.4195167892858767,-1.2073333251839438,0.5564782006714306,1.3192179048095831,2.8065706393106447,1.6018222311189458,1.3723180186552575,0.01799307958477514,0.04100437955102998,0.2218389652914599,26.7,95.59,0.06843257130301848
9,2013-01-17,15.2,50.6,103.7,15.1,10.3,79.1,13.25,0.95,45.83,289.97,11.613778933742866,1.323060685215105,-0.434558226954858,0.550353357793397,1.3167575120233472,2.847431262072436,1.557571004564453,1.3935077759079566,0.01799307958477514,0.04100437955102998,0.22250772151399104,26.7,95.59,0.07201246613346479
