,units1_nums,units2_nums,units3_nums,units4_nums,units5_nums,batch_size,score
4,64.0,128.0,64.0,0.0,0.0,16.0,0.10510923
1,64.0,64.0,0.0,0.0,0.0,16.0,0.10803009
5,32.0,64.0,128.0,64.0,32.0,16.0,0.10836212
2,32.0,64.0,32.0,0.0,0.0,16.0,0.11285165
3,32.0,128.0,32.0,0.0,0.0,16.0,0.1147093
0,32.0,32.0,0.0,0.0,0.0,16.0,0.11633079
