,model_params,prov_mse,prof_mse
5,"{'n_heads': 16, 'e_layers': 3}",0.027820539,0.026402052
4,"{'n_heads': 16, 'e_layers': 2}",0.028075982,0.024148177
3,"{'n_heads': 8, 'e_layers': 6}",0.02860441,0.026554612
1,"{'n_heads': 8, 'e_layers': 3}",0.038011476,0.030379191
2,"{'n_heads': 8, 'e_layers': 4}",0.040937383,0.031322785
6,"{'n_heads': 16, 'e_layers': 4}",0.042662237,0.03041671
0,"{'n_heads': 8, 'e_layers': 2}",0.04313996,0.033455394
7,"{'n_heads': 16, 'e_layers': 6}",0.046867944,0.027114764
