,units1_nums,units2_nums,units3_nums,units4_nums,units5_nums,batch_size,score
1,64.0,64.0,0.0,0.0,0.0,16.0,0.06074942
4,64.0,128.0,64.0,0.0,0.0,16.0,0.06139302
2,32.0,64.0,32.0,0.0,0.0,16.0,0.06785356
5,32.0,64.0,128.0,64.0,32.0,16.0,0.06793433
3,32.0,128.0,32.0,0.0,0.0,16.0,0.07013602
0,32.0,32.0,0.0,0.0,0.0,16.0,0.07591393
