,units1_nums,units2_nums,units3_nums,units4_nums,units5_nums,batch_size,score
4,64.0,128.0,64.0,0.0,0.0,16.0,0.06704476
1,64.0,64.0,0.0,0.0,0.0,16.0,0.07078151
3,32.0,128.0,32.0,0.0,0.0,16.0,0.07100069
5,32.0,64.0,128.0,64.0,32.0,16.0,0.07481421
0,32.0,32.0,0.0,0.0,0.0,16.0,0.07728671
2,32.0,64.0,32.0,0.0,0.0,16.0,0.08229958
