,units1_nums,units2_nums,units3_nums,units4_nums,units5_nums,batch_size,score
4,64.0,128.0,64.0,0.0,0.0,16.0,0.04972064
1,64.0,64.0,0.0,0.0,0.0,16.0,0.05105226
5,32.0,64.0,128.0,64.0,32.0,16.0,0.05206683
2,32.0,64.0,32.0,0.0,0.0,16.0,0.05215345
3,32.0,128.0,32.0,0.0,0.0,16.0,0.05240818
0,32.0,32.0,0.0,0.0,0.0,16.0,0.05732911
