,units1_nums,units2_nums,units3_nums,units4_nums,units5_nums,batch_size,score
4,64.0,128.0,64.0,0.0,0.0,16.0,0.04362804
5,32.0,64.0,128.0,64.0,32.0,16.0,0.04534691
1,64.0,64.0,0.0,0.0,0.0,16.0,0.04722384
3,32.0,128.0,32.0,0.0,0.0,16.0,0.04855011
2,32.0,64.0,32.0,0.0,0.0,16.0,0.04965873
0,32.0,32.0,0.0,0.0,0.0,16.0,0.05464749
